epoch,train_loss,train_acc,val_loss,val_acc
1,1.821061,0.623697,1.255328,0.832088
2,1.432018,0.756452,1.082723,0.888938
3,1.324348,0.791600,1.077235,0.894359
4,1.263338,0.814862,1.033030,0.908425
5,1.219347,0.829899,0.979744,0.923956
6,1.006150,0.904519,0.821011,0.974432
7,0.950386,0.922853,0.797534,0.977363
8,0.918903,0.934392,0.789371,0.980440
9,0.906012,0.936700,0.780519,0.981392
10,0.896039,0.939575,0.772942,0.980879
11,0.872702,0.948459,0.766027,0.982491
12,0.866293,0.948770,0.765067,0.982930
13,0.860921,0.951188,0.762763,0.983150
14,0.858403,0.952305,0.759038,0.983810
15,0.852640,0.953862,0.757406,0.983150
16,0.853386,0.953276,0.761176,0.983516
17,0.852202,0.954723,0.755925,0.983077
18,0.853135,0.953862,0.760456,0.983810
19,0.852960,0.953477,0.759923,0.983590
20,0.851977,0.954466,0.756328,0.983443
